Probabilidad_de_mutacion,Probabilidad_de_cruce,Tamano_de_la_poblacion,Numero_de_iteraciones,Iteraciones_por_individuo,Algoritmos,Fitness,Puntos_promedio,Fenotipo,Tiempo_de_Ejecucion
0.1,0.6,100,100,3,jeco.core.operator.selection.BinaryTournament@61bbe9ba - jeco.core.operator.crossover.SinglePointCrossover@1a6c5a9e - jeco.core.operator.mutation.CombinatorialMutation@511d50c0,94190.0,5810.0,if(_getClosestEdibleGhostDistanceToClosestJunctionRight_LE_5_){_getDirectionTowardsClosestPowerPill_}_else{_getDirectionTowardsClosestPill_},154.162059764
0.1,0.6,100,100,3,jeco.core.operator.selection.BinaryTournament@61bbe9ba - jeco.core.operator.crossover.SinglePointCrossover@1a6c5a9e - jeco.core.operator.mutation.IntegerFlipMutation@49097b5d,94016.66666666667,5983.3333333333285,if(_getClosestEdibleGhostDistanceToClosestJunctionLeft_GE_3_){_getDirectionTowardsClosestPill_}_else{_getDirectionTowardsClosestEdibleGhost_},70.950426832
0.1,0.6,100,100,3,jeco.core.operator.selection.BinaryTournament@61bbe9ba - jeco.core.operator.crossover.SinglePointCrossover@1a6c5a9e - jeco.core.operator.mutation.SwapMutation@7c3df479,95053.33333333333,4946.6666666666715,if(_!_isJunction_and_isJunction_){_getDirectionAwayFromClosestNonEdibleGhost_}_else{_if(_getDistToClosestPowerPill_LT_1_){_getDirectionTowardsClosestPill_}_else{_getDirectionTowardsClosestPill_}_},27.509917609
0.1,0.6,100,100,3,jeco.core.operator.selection.BinaryTournamentNSGAII@5d099f62 - jeco.core.operator.crossover.SinglePointCrossover@1a6c5a9e - jeco.core.operator.mutation.CombinatorialMutation@511d50c0,90873.33333333333,9126.666666666672,if(_getClosestNonEdibleGhostDistanceToClosestJunctionRight_NE_39_){_getDirectionTowardsClosestEdibleGhost_}_else{_getDirectionTowardsClosestPill_},133.551940699
0.1,0.6,100,100,3,jeco.core.operator.selection.BinaryTournamentNSGAII@5d099f62 - jeco.core.operator.crossover.SinglePointCrossover@1a6c5a9e - jeco.core.operator.mutation.IntegerFlipMutation@49097b5d,94193.33333333333,5806.6666666666715,if(_isJunction_and_isJunction_){_getDirectionTowardsClosestPill_}_else{_getDirectionTowardsClosestPill_},131.460038436
0.1,0.6,100,100,3,jeco.core.operator.selection.BinaryTournamentNSGAII@5d099f62 - jeco.core.operator.crossover.SinglePointCrossover@1a6c5a9e - jeco.core.operator.mutation.SwapMutation@7c3df479,91080.0,8920.0,if(_getDistanceToClosestNonEdibleGhost_GT_51_){_getDirectionTowardsClosestEdibleGhost_}_else{_getDirectionTowardsClosestPowerPill_},65.262792134
0.1,0.6,100,100,3,jeco.core.operator.selection.EliteSelectorOperator@685f4c2e - jeco.core.operator.crossover.CycleCrossover@76fb509a - jeco.core.operator.mutation.CombinatorialMutation@511d50c0,94916.66666666667,5083.3333333333285,if(_getDistanceToClosestEdibleGhostRight_GT_4_){_getDirectionTowardsClosestPill_}_else{_getDirectionTowardsClosestPowerPill_},41.463686872
0.1,0.6,100,100,3,jeco.core.operator.selection.EliteSelectorOperator@685f4c2e - jeco.core.operator.crossover.CycleCrossover@76fb509a - jeco.core.operator.mutation.IntegerFlipMutation@49097b5d,93433.33333333333,6566.6666666666715,if(_isJunction_and_!_isJunction_){_if(_isJunction_){_if(_!_isJunction_){_getDirectionTowardsClosestEdibleGhost_}_else{_getDirectionAwayFromClosestNonEdibleGhost_}_}_else{_if(_isJunction_){_getDirectionTowardsClosestPowerPill_}_}_}_else{_if(_getClosestNonEdibleGhostDistanceToClosestJunctionRight_GE_8_){_getDirectionTowardsClosestEdibleGhost_}_else{_getDirectionTowardsClosestPowerPill_}_},65.618624207
0.1,0.6,100,100,3,jeco.core.operator.selection.EliteSelectorOperator@685f4c2e - jeco.core.operator.crossover.CycleCrossover@76fb509a - jeco.core.operator.mutation.SwapMutation@7c3df479,94580.0,5420.0,if(_getDistToClosestPowerPillLeft_GT_0_){_getDirectionTowardsClosestPill_},15.170850491
0.1,0.6,100,100,3,jeco.core.operator.selection.EliteSelectorOperator@685f4c2e - jeco.core.operator.crossover.SinglePointCrossover@1a6c5a9e - jeco.core.operator.mutation.CombinatorialMutation@511d50c0,92523.33333333333,7476.6666666666715,if(_!_isJunction_or_isJunction_){_if(_getClosestEdibleGhostDistanceToClosestJunctionRight_GE_64_){_getDirectionTowardsClosestPill_}_else{_getDirectionTowardsClosestEdibleGhost_}_}_else{_getDirectionTowardsClosestEdibleGhost_},95.02967319
