Selection_func,Mutation_func,Mutation_prob,Crossover_func,Crossover_prob,Elite_percent,Pop_size,NoIterations,Iterations_per_solution,Fitness_functions,Fitness_scores,Phenotype,Exec_time,Aborted,Last_commit_hash
BinaryTournamentNSGAII,IntegerFlipMutation,0.1,LHSCrossover,0.6,0.05,100,80,15,[Naive_fitness],[94634.0],if(_getDistanceToClosestNonEdibleGhostLeft_EQ_10_){_if(_getDistanceToClosestNonEdibleGhostRight_NE_50_){_if(_getClosestEdibleGhostDistanceToClosestJunctionLeft_LE_75_){_if(_getDistanceToClosestEdibleGhostRight_EQ_40_){_getDirectionAwayFromClosestNonEdibleGhost_}_else{_getDirectionAwayFromClosestNonEdibleGhost_}_}_}_}_else{_if(_getClosestEdibleGhostDistanceToClosestJunctionRight_LT_40_){_if(_getDistToClosestPillRight_GT_75_){_getDirectionTowardsClosestEdibleGhost_}_else{_getDirectionTowardsClosestEdibleGhost_}_}_else{_getDirectionTowardsClosestPill_}_},29.635767627,1,dc4d47527ab78fe5551f5a89dc4e15739c73572e
BinaryTournamentNSGAII,IntegerFlipMutation,0.1,LHSCrossover,0.6,0.05,180,100,30,[Naive_fitness],[92581.0],if(_getDistanceToClosestNonEdibleGhost_GE_20_){_getDirectionTowardsClosestPill_}_else{_if(_getDistanceToClosestNonEdibleGhostUp_NE_15_){_getDirectionTowardsClosestPowerPill_}_else{_getDirectionTowardsClosestPill_}_},1010.871827333,0,dc4d47527ab78fe5551f5a89dc4e15739c73572e
BinaryTournamentNSGAII,IntegerFlipMutation,0.1,LHSCrossover,0.6,0.05,180,100,30,[Naive_fitness],[82991.66666666667],if(_getDistanceToClosestNonEdibleGhost_GE_60_){_getDirectionTowardsClosestPill_}_else{_if(_getDistanceToClosestNonEdibleGhostDown_LE_90_){_getDirectionAwayFromClosestNonEdibleGhost_}_},175.602131014,1,dc4d47527ab78fe5551f5a89dc4e15739c73572e
BinaryTournamentNSGAII,IntegerFlipMutation,0.1,LHSCrossover,0.6,0.05,100,80,30,[Naive_fitness],[47159.0],if(_getDistanceToClosestNonEdibleGhost_GT_10_){_if(_getDistanceToClosestNonEdibleGhost_LT_20_){_getDirectionTowardsClosestPowerPill_}_else{_getDirectionTowardsClosestPill_}_}_else{_getDirectionAwayFromClosestNonEdibleGhost_},3328.719395953,0,dc4d47527ab78fe5551f5a89dc4e15739c73572e
BinaryTournamentNSGAII,IntegerFlipMutation,0.1,SinglePointCrossover,0.4,0.05,100,20,3,[Number_of_levels_completed,Naive_fitness],[98.0, 91376.66666666667],if(_getDistanceToClosestNonEdibleGhostRight_NE_5_){_getDirectionTowardsClosestPill_}_else{_getDirectionTowardsClosestPill_},35.62315318,0,2d250969b269ca8df1bdca7bc305701ab3ab413c
BinaryTournamentNSGAII,IntegerFlipMutation,0.1,SinglePointCrossover,0.4,0.05,100,50,3,[Naive_fitness],[91293.33333333333],if(_getDistanceToClosestNonEdibleGhost_LE_5_){_if(_getDistanceToClosestEdibleGhost_NE_5_){_huir_}_}_else{_if(_getDistanceToClosestNonEdibleGhost_GE_getDistanceToClosestNonEdibleGhost_){_atacar_}_else{_huir_}_},2.768814132,1,2d250969b269ca8df1bdca7bc305701ab3ab413c
BinaryTournamentNSGAII,IntegerFlipMutation,0.1,SinglePointCrossover,0.4,0.05,100,50,3,[Number_of_levels_completed,Naive_fitness],[95.66666666666667, 83486.66666666667],if(_getDistanceToClosestNonEdibleGhost_GE_5_){_farmear_}_else{_huir_},32.457630413,0,2d250969b269ca8df1bdca7bc305701ab3ab413c
BinaryTournamentNSGAII,IntegerFlipMutation,0.1,LHSCrossover,0.6,0.05,100,160,30,[Number_of_levels_completed,Naive_fitness],[96.13333333333334, 91227.33333333333],if(_getGeometricMeanDistanceToEdibleGhosts_GE_40_){_if(_getGeometricMeanDistanceToEdibleGhosts_GE_10_){_getDirectionAwayFromClosestNonEdibleGhost_}_else{_if(_getDistToClosestPill_NE_60_){_getDirectionTowardsClosestEdibleGhost_}_}_}_else{_getDirectionTowardsClosestPill_},665.328825048,1,9045ace71f06de74f7ea2aab9875af084873e7fc
BinaryTournamentNSGAII,IntegerFlipMutation,0.1,LHSCrossover,0.6,0.05,100,160,30,[Number_of_levels_completed,Naive_fitness],[98.83333333333333, 93035.33333333333],if(_getDistanceToClosestNonEdibleGhost_GE_20_){_getDirectionTowardsClosestPill_}_else{_getDirectionTowardsClosestPowerPill_},1029.183863506,0,9045ace71f06de74f7ea2aab9875af084873e7fc
BinaryTournamentNSGAII,IntegerFlipMutation,0.1,LHSCrossover,0.6,0.05,100,50,30,[Naive_fitness],[90695.0],if(_getDistanceToClosestNonEdibleGhost_LT_5_){_huir_}_else{_farmear_},251.167744157,0,9045ace71f06de74f7ea2aab9875af084873e7fc
BinaryTournamentNSGAII,IntegerFlipMutation,0.1,LHSCrossover,0.6,0.05,100,50,30,[Naive_fitness],[60760.0],if(_getDistanceToClosestNonEdibleGhost_GT_10_){_farmear_}_else{_huir_},2172.262655726,0,9045ace71f06de74f7ea2aab9875af084873e7fc
