Mejor fitness encontrado: 99631.0, con fenotipo: LRULRDULDUULUDLUUURRLDUDLRRDRUU
Mejor fitness encontrado: 99237.0, con fenotipo: LLU
Mejor fitness encontrado: 99634.0, con fenotipo: U
Mejor fitness encontrado: 99554.0, con fenotipo: L
Mejor fitness encontrado: 99587.0, con fenotipo: RUDLUUURRLUULUL
Mejor fitness encontrado: 95684.0, con fenotipo: DLDDRLDDLDRLURDLUDDRRRDDLRLLRLLRRLL
Mejor fitness encontrado: 99594.0, con fenotipo: RDUDRURUURLLLDUURDULR
Mejor fitness encontrado: 99546.0, con fenotipo: D
Mejor fitness encontrado: 99531.0, con fenotipo: RLR
Mejor fitness encontrado: 95478.0, con fenotipo: RLD
Mejor fitness encontrado: 99634.0, con fenotipo: U
Mejor fitness encontrado: 99546.0, con fenotipo: D
Mejor fitness encontrado: 99388.0, con fenotipo: D
Mejor fitness encontrado: 99571.0, con fenotipo: RLULRLRUL
Mejor fitness encontrado: 99554.0, con fenotipo: L
Mejor fitness encontrado: 99594.0, con fenotipo: R
Mejor fitness encontrado: 99634.0, con fenotipo: U
Mejor fitness encontrado: 99452.0, con fenotipo: D
Mejor fitness encontrado: 99642.0, con fenotipo: U
Mejor fitness encontrado: 99574.0, con fenotipo: RLULUUDULURRDUDLLRDULRL
Mejor fitness encontrado: 99587.0, con fenotipo: LDLRUUDUURL
Mejor fitness encontrado: 99574.0, con fenotipo: R
Mejor fitness encontrado: 99611.0, con fenotipo: URULDLDRUUDRLURRD
Mejor fitness encontrado: 99634.0, con fenotipo: U
Mejor fitness encontrado: 99574.0, con fenotipo: R
Mejor fitness encontrado: 99638.0, con fenotipo: U
Mejor fitness encontrado: 99582.0, con fenotipo: RDUUL
Mejor fitness encontrado: 99546.0, con fenotipo: D
Mejor fitness encontrado: 99494.0, con fenotipo: L
Mejor fitness encontrado: 95646.0, con fenotipo: LRD
Mejor fitness encontrado: 99505.0, con fenotipo: RLLRDLDRURDDLDUDUDR
Mejor fitness encontrado: 99438.0, con fenotipo: R
Mejor fitness encontrado: 99281.0, con fenotipo: URU
Mejor fitness encontrado: 99358.0, con fenotipo: D
Mejor fitness encontrado: 99594.0, con fenotipo: L
Mejor fitness encontrado: 99375.0, con fenotipo: DULUR
Mejor fitness encontrado: 99559.0, con fenotipo: URDUDRDDDLLUULDUUUDLDRDRRDURRLDDRRULRUULLUR
Mejor fitness encontrado: 99485.0, con fenotipo: UULUUUDUDLRDDLUDLDLDDDRDU
Mejor fitness encontrado: 99494.0, con fenotipo: RRL
Mejor fitness encontrado: 99457.0, con fenotipo: DRUUU
Mejor fitness encontrado: 99594.0, con fenotipo: L
Mejor fitness encontrado: 99482.0, con fenotipo: RLULURDLLRU
Mejor fitness encontrado: 99594.0, con fenotipo: R
Mejor fitness encontrado: 99366.0, con fenotipo: DRUUU
Mejor fitness encontrado: 99461.0, con fenotipo: LRD
Mejor fitness encontrado: 99499.0, con fenotipo: RLLLRRDLUDDDRDURLUUUUDR
Mejor fitness encontrado: 99580.0, con fenotipo: DULUR
Mejor fitness encontrado: 99502.0, con fenotipo: D
